Date,Index,Open,High,Low,Close,Adj Close,Volume,Market Closed,Adj Close Moving Average 10,Adj Close Moving Average 21
2019-03-01,GSPTSE,16086.29981,16122.09961,16058.09961,16068.29981,16068.29981,24300350000.0,False,16068.29981,16068.29981
2019-03-02,GSPTSE,16086.29981,16122.09961,16058.09961,16068.29981,16068.29981,24300350000.0,True,16068.29981,16068.29981
2019-03-03,GSPTSE,16086.29981,16122.09961,16058.09961,16068.29981,16068.29981,24300350000.0,True,16068.29981,16068.29981
2019-03-04,GSPTSE,16088.59961,16093.5,15955.0,16038.09961,16038.09961,28635800000.0,False,16060.74976,16060.74976
2019-03-05,GSPTSE,16077.29981,16105.29981,16068.59961,16086.5,16086.5,25650400000.0,False,16065.899807999998,16065.899807999998
2019-03-06,GSPTSE,16098.7002,16145.79981,16077.59961,16092.09961,16092.09961,27253180000.0,False,16070.266441666667,16070.266441666667
2019-03-07,GSPTSE,16079.0,16085.40039,15981.79981,16056.5,16056.5,27171920000.0,False,16068.299807142857,16068.299807142857
2019-03-08,GSPTSE,15958.09961,16000.79981,15891.90039,15996.2002,15996.2002,25541290000.0,False,16059.287356249999,16059.287356249999
2019-03-09,GSPTSE,15958.09961,16000.79981,15891.90039,15996.2002,15996.2002,25541290000.0,True,16052.27767222222,16052.27767222222
2019-03-10,GSPTSE,15958.09961,16000.79981,15891.90039,15996.2002,15996.2002,25541290000.0,True,16046.669925,16046.669925
2019-03-11,GSPTSE,16028.09961,16131.90039,16028.09961,16106.2002,16106.2002,25034230000.0,False,16050.459964,16052.081768181817
2019-03-12,GSPTSE,16142.59961,16149.0,16099.59961,16136.7002,16136.7002,22911150000.0,False,16057.300003,16059.133304166666
2019-03-13,GSPTSE,16193.09961,16212.59961,16143.5,16150.0,16150.0,27109130000.0,False,16065.470022,16066.123049999998
2019-03-14,GSPTSE,16139.40039,16144.5,16083.09961,16087.59961,16087.59961,19659880000.0,False,16070.420022,16067.657089999999
